IP地址,数据中心,地区,城市,网络延迟
172.64.229.43,NRT,Asia Pacific,Tokyo,129 ms
172.64.228.109,NRT,Asia Pacific,Tokyo,132 ms
104.17.133.97,SJC,North America,San Jose,144 ms
141.101.121.241,SJC,North America,San Jose,145 ms
104.17.100.131,SJC,North America,San Jose,146 ms
162.159.2.16,SJC,North America,San Jose,147 ms
104.16.129.109,SJC,North America,San Jose,148 ms
104.18.59.149,SJC,North America,San Jose,149 ms
104.17.114.109,SJC,North America,San Jose,149 ms
104.17.14.109,SJC,North America,San Jose,149 ms
104.18.48.218,SJC,North America,San Jose,150 ms
104.18.136.157,SJC,North America,San Jose,150 ms
104.16.116.35,LAX,North America,Los Angeles,151 ms
104.16.71.165,SJC,North America,San Jose,151 ms
104.18.64.16,SJC,North America,San Jose,151 ms
104.18.183.99,SJC,North America,San Jose,153 ms
104.16.4.48,SJC,North America,San Jose,153 ms
104.18.114.157,LAX,North America,Los Angeles,155 ms
104.18.63.144,SJC,North America,San Jose,156 ms
104.16.115.162,LAX,North America,Los Angeles,156 ms
104.16.246.83,SJC,North America,San Jose,156 ms
104.17.37.182,SJC,North America,San Jose,156 ms
104.18.106.88,SJC,North America,San Jose,157 ms
162.159.207.189,SJC,North America,San Jose,157 ms
141.101.122.93,SJC,North America,San Jose,157 ms
104.16.41.128,SJC,North America,San Jose,158 ms
104.16.22.91,SJC,North America,San Jose,159 ms
104.17.127.36,SJC,North America,San Jose,159 ms
172.64.230.142,SJC,North America,San Jose,160 ms
172.64.155.5,SJC,North America,San Jose,160 ms
104.18.71.33,SJC,North America,San Jose,160 ms
104.17.61.143,SJC,North America,San Jose,160 ms
104.16.9.61,SJC,North America,San Jose,160 ms
104.16.200.20,SJC,North America,San Jose,161 ms
104.18.131.149,SJC,North America,San Jose,161 ms
104.17.77.174,SJC,North America,San Jose,161 ms
104.17.53.66,SJC,North America,San Jose,161 ms
162.159.241.77,LAX,North America,Los Angeles,162 ms
104.19.213.31,SJC,North America,San Jose,162 ms
172.64.157.75,SJC,North America,San Jose,163 ms
104.18.69.115,SJC,North America,San Jose,163 ms
104.18.23.163,LAX,North America,Los Angeles,163 ms
104.18.57.29,SJC,North America,San Jose,163 ms
104.17.86.197,SJC,North America,San Jose,163 ms
104.16.126.114,LAX,North America,Los Angeles,163 ms
104.17.43.180,SJC,North America,San Jose,163 ms
104.16.148.143,SJC,North America,San Jose,163 ms
104.18.232.235,SJC,North America,San Jose,163 ms
104.16.248.154,SJC,North America,San Jose,163 ms
104.19.161.176,SJC,North America,San Jose,163 ms
104.16.19.238,SJC,North America,San Jose,164 ms
104.17.229.174,SJC,North America,San Jose,164 ms
104.21.127.27,AMS,Europe,Amsterdam,164 ms
141.101.120.114,SJC,North America,San Jose,164 ms
104.18.15.5,SJC,North America,San Jose,165 ms
162.159.253.189,LAX,North America,Los Angeles,165 ms
104.19.240.220,LAX,North America,Los Angeles,165 ms
162.159.11.235,SJC,North America,San Jose,165 ms
104.19.250.235,SJC,North America,San Jose,165 ms
104.16.179.220,SJC,North America,San Jose,165 ms
104.18.224.242,SJC,North America,San Jose,165 ms
104.18.55.28,SJC,North America,San Jose,165 ms
104.16.207.34,SJC,North America,San Jose,165 ms
104.18.50.47,SJC,North America,San Jose,165 ms
104.18.62.187,SJC,North America,San Jose,165 ms
104.17.98.122,SJC,North America,San Jose,166 ms
172.67.217.67,AMS,Europe,Amsterdam,166 ms
23.227.38.254,SJC,North America,San Jose,166 ms
104.18.146.208,SJC,North America,San Jose,167 ms
141.101.123.199,SJC,North America,San Jose,167 ms
104.18.27.137,LAX,North America,Los Angeles,168 ms
104.18.20.40,LAX,North America,Los Angeles,168 ms
104.16.170.130,SJC,North America,San Jose,168 ms
104.19.245.197,LAX,North America,Los Angeles,169 ms
104.21.210.181,AMS,Europe,Amsterdam,169 ms
104.17.183.41,SJC,North America,San Jose,169 ms
104.17.123.89,SJC,North America,San Jose,170 ms
104.17.89.195,SJC,North America,San Jose,170 ms
104.18.120.184,LAX,North America,Los Angeles,170 ms
104.16.189.248,SJC,North America,San Jose,170 ms
104.21.230.232,LAX,North America,Los Angeles,170 ms
104.16.42.49,SJC,North America,San Jose,170 ms
104.16.96.165,SJC,North America,San Jose,170 ms
172.67.182.143,AMS,Europe,Amsterdam,170 ms
104.18.204.79,SJC,North America,San Jose,170 ms
162.159.255.244,LAX,North America,Los Angeles,170 ms
162.159.250.124,LAX,North America,Los Angeles,170 ms
104.19.7.195,SJC,North America,San Jose,170 ms
172.67.189.73,AMS,Europe,Amsterdam,170 ms
104.16.82.148,SJC,North America,San Jose,171 ms
162.159.152.8,SJC,North America,San Jose,171 ms
104.21.59.245,AMS,Europe,Amsterdam,171 ms
104.18.30.157,LAX,North America,Los Angeles,171 ms
104.18.115.68,LAX,North America,Los Angeles,171 ms
104.16.70.169,SJC,North America,San Jose,171 ms
104.18.68.243,SJC,North America,San Jose,171 ms
104.19.140.219,LAX,North America,Los Angeles,171 ms
162.159.244.119,LAX,North America,Los Angeles,171 ms
104.19.134.163,LAX,North America,Los Angeles,171 ms
104.21.12.224,AMS,Europe,Amsterdam,172 ms
104.17.88.66,SJC,North America,San Jose,172 ms
104.16.130.1,SJC,North America,San Jose,172 ms
104.21.6.135,AMS,Europe,Amsterdam,172 ms
104.16.125.199,LAX,North America,Los Angeles,172 ms
